,날짜,리뷰,응답날짜,응답,별점,유저명,공감수
20,2020-01-28 07:19:53,"강서구 구립도서관 연동안되요. ""시설연동이 지연되고있습니다"" 계속뜹니다. 확인해주세요",2020-02-06 05:21:58,안녕하세요. 서울시민카드 입니다. 관련 내용에 대해서는 처리 완료 되었습니다. 감사합니다.,1,kyungsu LIM,3
21,2021-10-28 23:28:39,며칠째 통합시설연동이 지연되고 있다는 멘트가 뜨면서 통합 시설카드 발급이 안되는데 이 오류는 언제쯤 수정되는건가요,2022-02-10 08:09:26,안녕하세요. 서울시민카드 입니다. 관련 내용에 대해서는 확인 후 빠른 처리 하도록 하겠습니다. 감사합니다.,1,조예진,4
22,2020-01-06 04:06:05,버스에서 홍보영상 보고 설치했는데 쓰임새가 많을것같네요 사용하다 불편한점 있으면 문의하겠습니다.,2020-02-06 05:21:07,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,4,일격필살,1
23,2020-12-03 03:50:26,"강서구 통합도서관 가입신청을 하려는데, 정회원 신청에 실패하였습니다. 잠시후에 다시 이용해주세요.라고 오류메시지가 뜹니다. 해결 부탁 드려요.",2020-12-11 05:10:24,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 해당 부분에 대해서는 확인이 되지 않고 있습니다. 같은 문제가 계속 발생 시 1:1문의 게시판을 통해 문의주세요. 감사합니다.,3,DANI CHOI,10
24,2021-12-12 13:01:18,도서관 등록하려고 했더니 연동이 계속 안되네요. 역시 공무원들이 하는건 설치하는게 아닌데,2022-02-10 08:09:51,안녕하세요. 서울시민카드 입니다. 관련 내용에 대해서는 확인 후 빠른 처리 하도록 하겠습니다. 감사합니다.,1,성훈,4
25,2019-10-30 01:33:50,안드로이드10에서 앱아이콘이 정상적으로 표시되지 않습니다. 구글 기본 아이콘으로 나와요,2019-11-01 05:22:38,"안녕하세요. 서울시민카드 입니다.
이용에 불편을 드려 죄송합니다.
빠르게 해당 문제점에 대해 확인 후 재 답변 드리겠습니다.

감사합니다.",1,송회인,0
26,2022-02-26 18:14:42,튕김현상 장난 아님...근데 개선하려는 의도가 전혀 없고 삭제하거나 업데이트 하라는 말만 반복중,2022-02-28 06:36:43,안녕하세요. 서울시민카드 입니다. 보다 나은 서울시민카드가 될 수 있도록 하겠습니다. 감사합니다.,1,ja ram son,5
27,2022-04-28 12:12:46,공공서비스 예약하려는데 자꾸 그냥 닫혀요. 앱 재설치해도 똑같네요.,2022-05-12 04:37:51,"안녕하세요. 서울시민카드입니다. 우선 불편을 끼쳐드려 죄송합니다. 여러차례 테스트를 해본 결과 이상 발견은 없으나, 간혹가다 기기문제 혹은 OS버전문제로 서비스 이용이 어려운 경우가 있습니다. 공공서비스 예약 메뉴의 경우 공공예약서비스 사이트 목록정보를 그대로 보여주는 화면이라, 불편하시겠지만 공공예약서비스 사이트(https://www.seoul.go.kr/main/index.jsp)를 직접 방문하여 서비스 이용을 부탁드립니다. 더욱 더 편리한 서비스 제공을 위해 노력하겠습니다. 감사합니다.",3,오이,1
28,2022-05-04 16:15:55,밑에 쓰여진대로 공공서비스예약을 누르면 튕깁니다 앱 삭제후 재설치 해도 같은 결과입니다. 되게 답답하네요,2022-05-12 04:37:38,"안녕하세요. 서울시민카드입니다. 우선 불편을 끼쳐드려 죄송합니다. 여러차례 테스트를 해본 결과 이상 발견은 없으나, 간혹가다 기기문제 혹은 OS버전문제로 서비스 이용이 어려운 경우가 있습니다. 공공서비스 예약 메뉴의 경우 공공예약서비스 사이트 목록정보를 그대로 보여주는 화면이라, 불편하시겠지만 공공예약서비스 사이트(https://www.seoul.go.kr/main/index.jsp)를 직접 방문하여 서비스 이용을 부탁드립니다. 더욱 더 편리한 서비스 제공을 위해 노력하겠습니다. 감사합니다.",1,최은미,0
29,2020-02-02 08:51:15,cgv 할인쿠폰 등록해도 쿠폰목록에 안나옵니다 찾동이전용 cgv쿠폰은 cgv어플에 등록하면 목록에 나오는데 찾동이전용 아닌 cgv쿠폰은 등록해도 쿠폰이 안보이네요 이틀연속으로 하나씩 등록했는데 2개 모두 목록에 안보이네요,2020-02-06 05:22:44,안녕하세요. 서울시민카드 입니다. 해당 문제에 대해서는 현재 정상적으로 확인되고 있습니다. 확인 부탁드립니다. 감사합니다.,3,두둥,8
